moneysmartID,title,accountNames,accountNumbers,accountBanks,billerCode,merchantId,acquirerId,terminalId,moneysmartUrl,addresses,websites,emails,phones,fax,aliases,comment,legacyDetails,legacyAccountNumbers,legacyAliases,dateAdded,dateUpdated
2235,A M Global Management,,,,,,,,/companies-you-should-not-deal-with/a-m-global-management,,,,,,,,2511  Malayan Mansion  Jalan Masjid India 50100 Kuala Lumpar Malaysia,,, ,23-Aug-19
4773,Nohelious International Marketing Operations trading as Trade99,,,,,,,,/companies-you-should-not-deal-with/nohelious-international-marketing-operations-trading-as-trade99,,,,,,,,(Note: this company is not connected to and should not be confused with the registered Australian company Trade 99 Pty Ltd ACN 604 690 799)Address: EstoniaP: +3728804999legal@trade99.comtrade99.com,,Trade99,11-Aug-20,11-Aug-20
4774,Global Agile Market Limited,,,,,,,,/companies-you-should-not-deal-with/global-agile-market-limited,,,,,,,,Address: Mongkok Kowloon  Hong KongEmail: support@fx-Gam.comWebsite: http://www.fx-gam.com/index.html,,,11-Aug-20,11-Aug-20
4775,Selected Markets,,,,,,,,/companies-you-should-not-deal-with/selected-markets,,,,,,,,Address: Suite 17  Beachmont Business Centre  Kingstown  Saint Vincent and the GrenadinesEmail: support@selected-markets.com  finance@selected-markets.comWebsite: https://www.selected-markets.com/,,Halsted Holdings,11-Aug-20,12-Aug-20
4776,High Concept Holdings Ltd t/a FxReview,,,,,,,,/companies-you-should-not-deal-with/high-concept-holdings-ltd-t-a-fxreview,,,,,,,,Address: Suite 305  Corporate Griffith Centre  Beachmont Kingstown  St. Vincent and the GrenadinesPh: +442080892089Email: finance@fxreview.com  support@fxreview.com  and compliance@fxreview.comWebsite: https://www.fxreview.com/,,FxReview,11-Aug-20,11-Aug-20
4777,Eternal Wealth Group / Eternal Wealth FX,,,,,,,,/companies-you-should-not-deal-with/eternal-wealth-group-eternal-wealth-fx,,,,,,,,[Note: this company is not connected with and should not be confused with the registered Australian company Eternal Wealth Group Pty Ltd ACN 149 088 988 AFS licence #427848.]Ph: +61 412 345 678Email: au@eternalwealthfx.com  support@eternalwealthfx.com and support@eternalwealthgroup.comWebsite: https://www.eternalwealthfx.com/Account Name: Yiran Trading Co. LimitedBank Name: Standard Chartered Bank (Hong Kong) LimitedAccount Number: 41510708496Account Name: HK Mingf Trading Co. LimitedBank Name: Standard Chartered Bank (Hong Kong) LimitedAccount Number: 57411493032,41510708496|57411493032,Eternal Wealth FX|Yiran Trading Co. Limited|HK Mingf Trading Co. Limited,11-Aug-20,11-Aug-20
4792,European Financial Services Conduct Authority,,,,,,,,/companies-you-should-not-deal-with/european-financial-services-conduct-authority,,,,,,,,Website : https://efsca.online/,,,11-Aug-20,11-Aug-20
2236,A Nova Corporate Services / Anova Corporate Services,,,,,,,,/companies-you-should-not-deal-with/a-nova-corporate-services-anova-corporate-services,,,,,,,,222 Yanan Road East Shanghai 200002 China Ph: (86) 21 5115 5369 Fax: (86) 21 6335 1337,,, ,23-Aug-19
2237,A.I.M. Corporation Limited,,,,,,,,/companies-you-should-not-deal-with/a-i-m-corporation-limited,,,,,,,,Lee Garden One  33 Hysan Avenue  Causeway Bay  Hong KongP: (852) 5801 4352 admin@aimcl.com www.aimcl.comAccount name: AWDH Trading Limited Account number: 881-506002-174 Bank name: ICBC BankAccount name: M for M Holdings Limited Account number: 009-631-011331414 Bank name: China Construction Bank (Asia) Corporations LtdAccount name: AWDH Trading Ltd Account number: 7886898530 Bank name: DHBK,881-506002-174|009-631-011331414|7886898530,AWDH Trading Limited|M for M Holdings Limited|AWDH Trading Ltd, ,23-Aug-19
2238,Aaoption,,,,,,,,/companies-you-should-not-deal-with/aaoption,,,,,,,,(also known as CFD Stocks and Pacific Sunrise UK Ltd)18 King William Street London Greater London EC4N 7BP United KingdomPh: +64-9-9402705&nbsp;or&nbsp;+47-21-984420&nbsp;or&nbsp;+44-2036709909&nbsp; or&nbsp;+44-2036709880&nbsp;or&nbsp;+43-134-69999007 support@cfdStocks.com www.cfdstocks.com/Account name: Mayzus Financial Services Ltd Account number: 3681972 Bank name: Ceska Sporitelna a.s.Account name: Sioo Industrial Co Limited Account number.: 817431927838 Bank name: HSBC BankAccount name: RIF Life Science Limited Account No.: 023100258838 Bank name: HSBC BANK,3681972|817431927838|023100258838,Mayzus Financial Services Ltd|Sioo Industrial Co Limited|RIF Life Science Limited, ,23-Aug-19
2239,Abacus Group Co Limited,,,,,,,,/companies-you-should-not-deal-with/abacus-group-co-limited,,,,,,,,252/94 Muang Thai-Phetra Tower II 17th Floor Rachadaphisek Rd Huaykwang  Bangkok 10320 Thailand,,, ,23-Aug-19
2240,Abbey House Acquisitions,,,,,,,,/companies-you-should-not-deal-with/abbey-house-acquisitions,,,,,,,,Tower 42  25 Old Broad Street United Kingdom EC2N 1HQ Ph: 44 79 8006 6904 Fax: 44 87 0135 8214 www.abbeyhouseacquisitions.com,,, ,23-Aug-19
