ASX code,Company name,Listing date,GICs industry group,Market Cap
14D,1414 DEGREES LIMITED,12/09/2018,Capital Goods,17774720
1AD,ADALTA LIMITED,22/08/2016,"Pharmaceuticals, Biotechnology & Life Sciences",15080868
1AE,AURORA ENERGY METALS LIMITED,18/05/2022,Materials,28522198
1AG,ALTERRA LIMITED,16/05/2008,"Food, Beverage & Tobacco",8346631
1CG,ONE CLICK GROUP LIMITED,28/04/2017,Capital Goods,7544937
1MC,MORELLA CORPORATION LIMITED,08/01/2001,Materials,98626448
1ST,1ST GROUP LIMITED,09/06/2015,Health Care Equipment & Services,N/A
29M,29METALS LIMITED,02/07/2021,Materials,1145627516
2BE,TUBI LIMITED,14/06/2019,Energy,N/A
360,LIFE360 INC.,10/05/2019,Software & Services,1178479682
3DA,AMAERO INTERNATIONAL LTD,06/12/2019,Capital Goods,18483452
3DAN,AMAERO INTERNATIONAL LTD,06/12/2019,Capital Goods,18483452
3DP,POINTERRA LIMITED,27/03/2008,Software & Services,135561241
3MF,3D METALFORGE LIMITED,02/03/2021,Commercial & Professional Services,N/A
3PL,3P LEARNING LIMITED..,09/07/2014,Consumer Services,374636050
4DS,4DS MEMORY LIMITED,09/12/2010,Semiconductors & Semiconductor Equipment,38473901
4DX,4DMEDICAL LIMITED,07/08/2020,Health Care Equipment & Services,138411163
5EA,5E ADVANCED MATERIALS INC.,01/03/2022,Materials,695247126
5GG,PENTANET LIMITED,29/01/2021,Telecommunication Services,78389839
88E,88 ENERGY LIMITED,20/01/2000,Energy,182657630
8CO,8COMMON LIMITED,27/08/2014,Software & Services,20051683
8IH,8I HOLDINGS LTD,17/12/2014,Diversified Financials,19654579
8VI,8VI HOLDINGS LIMITED,16/12/2015,Consumer Services,29666995
92E,92 ENERGY LIMITED,15/04/2021,Energy,40002052
99L,99 LOYALTY LIMITED.,08/10/2013,Software & Services,18554924
A11,ATLANTIC LITHIUM LIMITED,26/09/2022,Materials,454306245
A1G,AFRICAN GOLD LTD.,14/02/2019,Materials,8358723
A1GN,AFRICAN GOLD LTD.,14/02/2019,Materials,8358723
A1M,AIC MINES LIMITED,04/11/1993,Materials,172565278
A2B,A2B AUSTRALIA LIMITED,14/12/1999,Transportation,127898371
