,0
0,Ultra Daily FX LTD
1,http://www.debtadvices.co.uk
2,BWCinvest
3,fxtgianttrades
4,Straton Hills
5,Cryptofxflow LTD
6,StanFin Bank
7,INDEX FX
8,FXT-TRADERS
9,ExcaliburFx Ltd
10,LUTON FX TRADE
11,FX INVESTMENT MINER
12,GLOBAL ASSETS- FINANCE
13,FPMARKETSTRADE / FP MARKETS TRADE
14,FX UNLIMITED TRADE / UNLIMITEDFXTRADE
15,FXCFDTRADERS
16,highstarinvest.com
17,ALBITFX-TRADE
18,CRYPTOFOREXTRADING50
19,EU FX BANK
20,exodusorbitalinvest.ltd
21,DIAMOND INVESTMENT
22,zenithinvestmentpty.com
23,vine-investments.com
24,Vadwell Trade Fx
25,cryptoinvestmentcapital.com
26,Great Western Bank
27,Cryptodigital-currency
28,FOREX CRYPTO PAYOUT
29,CRYPTO GLOBAL TRADES
30,REAL WEALTH INVESTMENT
31,Excryptotradefx
32,EXODUSTRADFX.COM
33,UniversalSpotbank
34,EX INVESTMENT
35,Crypto Renewed
36,PROFITSCHAIN FX
37,Cryptocrestinvestment247
38,ASSETSLITE INVESTMENT
39,Superb Finance Ltd
40,Crypto Live Capital
41,CONFERENCE FX PLATFORM
42,CKB TRADERS INVESTMENT
43,MONDIAL INVESTMENTS LIMITED
44,BLUE RAY INVESTMENT GROUP
45,mar.yamfx (Clone of FCA Authorised Firm)
46,www.cryptosaur.co.uk (clone of previously registered firm)
47,https://www.wintonfundmanagement.ie (Clone of FCA Authorised Schedule 5 firm)
48,ACTIVFXTRADE
49,CRYPTOCOINDESKFX
50,Glovefx Trade
51,exchangeincome.net
52,ZEON NETWORK
53,CRYPTOCURRENCYFXMINING
54,ORION GLOBAL INVESTMENT
55,CAPITAL TRUST INVESTMENTS
56,FXfortrade Ltd (Clone of FCA Authorised Firm)
57,Cooperhouse capital and fund management inc.
58,financialrecoverysolutions.co (Clone of FCA Authorised Firm)
59,EPENTOMIA
60,Bravofxtrade
61,FIRSTCRYSTALBANK
62,Capittal Partner
63,FxMarketSpace Ltd
64,FX CRYP LAND
65,stock-invests.com
66,Legacy FX Brokers
67,Assetglobal Investments
68,Zenith Capital Assests
69,DF MARKETS / DFMARKETS.UK
70,Beanstox Unified Investment
71,US Stock Market Investments
72,Spotinvest (Clone of FCA Authorised Firm)
73,DEVPROINVEST
74,LQD FX
75,Refundable Ltd
76,FX KICK STARTER
77,GREENSKY ADVISORS LTD
78,CentralFinances / Loan Central
79,Blackrock Investments Ireland/Blackrock Investment Managers (clone of FCA registered firm)
80,MultiFxProTraders
81,CERTA INVEST
82,CryptoMax Corp
83,Spartan Trade
84,Richardson Lewis
85,Forever Finances
86,Leon Wealth Academy
87,AUFX Markets
88,Refund Experts
89,FX TRADE GAIN
90,STANDARD INTERCONTINENTAL SAVINGS BANK
91,GreatInvest (Clone of FCA authorised firm)
92,247cryptoassets
93,CRYPTO1CAPITAL
94,RFX with Javed
95,MONNAIEBANKS.COM
96,Reliablemarketfxt
97,FlexTrading Fx
98,Trade Top FX
99,Nexta Capital FX
100,Global Get Back
101,Stable Coin Invest
102,Mount Financial Bank PLC
103,hycmarket.com (Clone of FCA Authorised Firm)
104,IC Monitoring (Clone of FCA Authorised Firm)
105,Axiafunder-Invest (Clone of FCA Authorised Firm)
106,Hatford and Fleming Financial Holdings Inc
107,Hart Culture C.I.C. / Hart Culture Credit Union
108,CoinFxOnline
109,PrimesInvestment Ltd
110,Legacy Fortune Investment Services
111,SWIFTFXTRADE
112,DWS Invest
113,DAV Invest
114,basetradeglobalinvestment.net
115,Assets Deluxe Trading
116,EARNERS CIRCLE INVESTMENT
117,Banque UK / Banque Handel (Clone of FCA Authorised Firm)
118,BgcpartnersFX (Clone FCA authorised firm) (clone of FCA authorised firm)
119,Swift Market Options UK Ltd / leadtradesfx.com (Clone of FCA Authorised Firm)
120,Sterling Investments Limited
121,AtomtradeFX
122,capital-assets.world
123,FOREX E-COMMERCIAL MARKET/FXECM
124,MortalFx
125,CASHFXEXPERTS
126,blochainfxpayment.com
127,Forex Treasures
128,Crystal-Market.Ltd
129,RevolutionInvest.ltd
130,safekeeping investments
131,PRIME CHAIN MARKETS
132,platinumcapitalinvestment.co.uk
133,FX STOCK INTERSWITCH
134,Merge Assets and Finance
135,BRICK GOLD INVESTMENT (BGI)
136,Crypto Wealth Investment Company
137,https://ei-wealthmanagement.com (clone of FCA authorised firm)
138,MACRO FUNDS BANK
139,FX BITCOIN MINERS
140,ARTEMISFX
141,Dlightglobalfxm
142,Daily-incomex
143,Hayat Global Ltd
144,Fxbinas Trade Trade
