Name,Website,Categories
Walmart,https://www.walmart.com/,Fortune 500
Amazon,https://www.amazon.com/,Fortune 500
Apple,https://www.apple.com/,Fortune 500
CVS Health,https://www.cvshealth.com/,Fortune 500
UnitedHealth Group,https://www.unitedhealthgroup.com/,Fortune 500
Exxon Mobil,https://corporate.exxonmobil.com/,Fortune 500
Berkshire Hathaway,https://www.berkshirehathaway.com/,Fortune 500
Alphabet,https://abc.xyz/,Fortune 500
McKesson,https://www.mckesson.com/,Fortune 500
AmerisourceBergen,https://www.amerisourcebergen.com/,Fortune 500
Costco Wholesale,https://www.costco.com/,Fortune 500
Cigna,https://www.cigna.com/,Fortune 500
AT&T,https://www.att.com/,Fortune 500
Microsoft,https://www.microsoft.com/en-in,Fortune 500
Cardinal Health,https://www.cardinalhealth.com/en.html,Fortune 500
Chevron,https://www.chevron.com/,Fortune 500
Home Depot,https://www.homedepot.com/,Fortune 500
Walgreens Boots Alliance,https://www.walgreensbootsalliance.com/,Fortune 500
Marathon Petroleum,https://www.marathonpetroleum.com/,Fortune 500
Elevance Health,https://www.elevancehealth.com/,Fortune 500
Kroger,https://www.kroger.com/,Fortune 500
Ford Motor,https://www.ford.com/,Fortune 500
Verizon Communications,https://www.verizon.com/,Fortune 500
JPMorgan Chase,https://www.jpmorganchase.com/,Fortune 500
General Motors,https://www.gm.com/,Fortune 500
Centene,https://www.centene.com/,Fortune 500
Meta Platforms,https://about.facebook.com/,Fortune 500
Comcast,https://corporate.comcast.com/,Fortune 500
Phillips 66,https://www.phillips66.com/,Fortune 500
Valero Energy,https://www.valero.com/,Fortune 500
Dell Technologies,https://www.dell.com/en-in,Fortune 500
Target,https://www.target.com/,Fortune 500
Fannie Mae,https://www.fanniemae.com/,Fortune 500
UPS,https://www.ups.com/,Fortune 500
Lowe's,https://www.lowes.com/,Fortune 500
Bank of America,https://www.bankofamerica.com/,Fortune 500
Johnson & Johnson,https://www.jnj.com/,Fortune 500
Archer Daniels Midland,https://www.adm.com/,Fortune 500
FedEx,https://www.fedex.com/,Fortune 500
Humana,https://www.humana.com/,Fortune 500
Wells Fargo,https://www.wellsfargo.com/,Fortune 500
State Farm Insurance,https://www.statefarm.com/,Fortune 500
Pfizer,https://www.pfizer.com/,Fortune 500
Citigroup,https://www.citigroup.com/,Fortune 500
PepsiCo,https://www.pepsico.com/,Fortune 500
Intel,https://www.intel.com/,Fortune 500
Procter & Gamble,https://www.pg.co.uk/,Fortune 500
General Electric,https://www.ge.com/,Fortune 500
IBM,https://www.ibm.com/,Fortune 500
MetLife,https://www.metlife.com/,Fortune 500
Prudential Financial,https://www.prudential.com/,Fortune 500
Albertsons,https://www.albertsons.com/,Fortune 500
Walt Disney,https://thewaltdisneycompany.com/,Fortune 500
Energy Transfer,https://www.energytransfer.com/,Fortune 500
Lockheed Martin,https://www.lockheedmartin.com/,Fortune 500
Freddie Mac,https://www.freddiemac.com/,Fortune 500
Goldman Sachs Group,https://www.goldmansachs.com/,Fortune 500
Raytheon Technologies,https://www.rtx.com/,Fortune 500
HP,https://www.hp.com/,Fortune 500
Boeing,https://www.boeing.com/,Fortune 500
Morgan Stanley,https://www.morganstanley.com/,Fortune 500
HCAHealthcare,https://www.abbvie.com/,Fortune 500
AbbVie,https://www.abbvie.com/,Fortune 500
Dow,https://www.dow.com/,Fortune 500
